filename,turn_count,agent_turn_ratio,agent_spin_situation_density,agent_spin_problem_density,agent_spin_implication_density,agent_spin_need_payoff_density,agent_risk_claim_count,has_risk_claim,agent_pressure_tactic_count,has_pressure_tactic,agent_oath_manipulation_count,has_oath_manipulation,total_kinship_density,total_religious_density,agent_question_ratio
record1768468854.mp3-arabic.txt,1,1.0,1.0,1.0,1.0,1.0,0,False,0,False,1,True,1.0,0.0,1.0
record1768819149.mp3-arabic.txt,4,1.0,0.75,0.5,0.25,0.75,0,False,0,False,2,True,0.25,0.0,0.75
record1765721553.mp3-arabic.txt,20,1.0,0.05,0.15,0.1,0.35,0,False,0,False,6,True,0.1,0.0,0.4
force-962797494XXX-5393-20260102-152433-1767360273.133196.mp3-arabic.txt,29,1.0,0.1724137931034483,0.20689655172413793,0.034482758620689655,0.27586206896551724,0,False,0,False,3,True,0.0,0.0,0.6896551724137931
CA57589957.mp3-arabic.txt,5,1.0,0.2,0.4,0.2,0.2,0,False,0,False,1,True,0.0,0.0,0.2
CA53190526.mp3-arabic.txt,5,1.0,0.2,0.2,0.0,0.2,0,False,0,False,2,True,0.0,0.0,0.4
CA50130108_20250730_184453.mp3-arabic.txt,1,1.0,1.0,1.0,0.0,1.0,0,False,1,True,1,True,1.0,0.0,1.0
20260118192735-1768753648.10595-1057-00966568454001-Outbound (1).wav-arabic.txt,1,1.0,0.0,0.0,0.0,0.0,0,False,0,False,0,False,0.0,0.0,0.0
record1765187871.mp3-arabic.txt,5,1.0,0.4,0.4,0.0,0.2,0,False,0,False,3,True,0.2,0.0,0.2
record-1765267241.182275.mp3-arabic.txt,2,1.0,1.0,1.0,0.5,1.0,0,False,1,True,2,True,0.0,0.0,1.0
CA66486215 05_12_25.mp3-arabic.txt,5,1.0,0.2,0.2,0.2,0.6,0,False,0,False,1,True,0.2,0.0,0.2
CA53279112.mp3-arabic.txt,3,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0,False,0,False,2,True,0.0,0.0,0.6666666666666666
CA50128132_20250730_165427.mp3-arabic.txt,1,1.0,1.0,1.0,0.0,1.0,0,False,1,True,1,True,1.0,0.0,1.0
CA57589383.mp3-arabic.txt,11,1.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.45454545454545453,0,False,0,False,3,True,0.0,0.18181818181818182,0.45454545454545453
20260118180617-1768748766.9050-1057-00966568454001-Outbound (1).wav-arabic.txt,6,1.0,0.0,0.0,0.0,0.16666666666666666,0,False,0,False,2,True,0.5,0.0,0.6666666666666666
CA50092476_20250728_140045.mp3-arabic.txt,1,1.0,0.0,0.0,1.0,0.0,0,False,0,False,1,True,1.0,0.0,1.0
CA66352431 03_12_25.mp3-arabic.txt,15,1.0,0.0,0.0,0.0,0.06666666666666667,0,False,0,False,1,True,0.0,0.0,0.2
record1768392734.mp3-arabic.txt,8,1.0,0.125,0.0,0.25,0.625,0,False,0,False,5,True,0.125,0.0,0.625
record1765176708.mp3-arabic.txt,17,1.0,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.47058823529411764,0,False,1,True,2,True,0.17647058823529413,0.0,0.4117647058823529
record1765187866.mp3-arabic.txt,9,1.0,0.6666666666666666,0.1111111111111111,0.0,0.7777777777777778,0,False,0,False,4,True,0.1111111111111111,0.0,0.6666666666666666
CA66047199 27_11_25.mp3-arabic.txt,11,1.0,0.0,0.0,0.0,0.18181818181818182,0,False,0,False,0,False,0.18181818181818182,0.0,0.2727272727272727
